"Version","Class","Domain","Data Collection Scenario/Implementation Option","Variable Order","CDASHIG Variable","CDASHIG Variable Label","DRAFT CDASHIG Definition","Question Text","Prompt","Type","CDASHIG Core","Case Report Form Completion Instructions","SDTMIG Target","Mapping Instructions","CDISC CT Codelist Code(s), Subset Codes(s)","Codelist Submission Value","Implementation Notes"
"CDASHIG v2.3","Interventions","EC",,"13","ECREFID","Exposure as Collected Reference ID","An internal or external identifier (e.g., kit number, bottle label, vial identifier).","What is the[study treatment/dose] label identifier?","[Study Treatment] Label Identifier","Char","O","Record treatment label identifier.","ECREFID","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","This packaging identifier (e.g., kit number, bottle label, vial identifier) may be collected in different ways (e.g., affixing label onto CRF, scanning a bar code). For some study dosing regimens that require greater granularity for treatment identifiers, sponsors may need to use additional variables."
"CDASHIG v2.3","Interventions","EC",,"14","ECLOT","Lot Number","Lot number of the ECTRT product.","What was the lot number of the[study treatment/dose] used?","Lot Number","Char","R/C","Record the lot number that appears on the container holding the study treatment.","ECLOT","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","The lot number identifies the manufacturing batch of the study treatment. In open-label studies, the reference number on the study treatment container may represent an actual lot number and should be submitted using ECLOT. This variable may be populated during the process of creating the SDTM submission datasets. Do not collect other identification variables in this field."
"CDASHIG v2.3","Interventions","EC",,"15","ECFAST","Exposure as Collected Fasting Status","An indication that the subject has abstained from food/water for the specified amount of time.","Was the subject fasting?","Fasting","Char","O","Record whether the subject was fasting prior to the study treatment being taken.","ECFAST","Maps directly to the SDTMIG variable listed in the SDTMIG Target column. Would only be populated when ECMOOD=""PERFORMED"".","C66742","NY","Because some study treatments may have a food effect, it is important to know whether the dose was taken after the subject had fasted."
"CDASHIG v2.3","Interventions","EC",,"16","ECDOSFRM","Exposure as Collected Dose Form","The dosage form in which the ECTRT is physically presented.","What was the dose form of the [study treatment/dose]?","Dose Form","Char","R/C","Record the dose form (e.g., SOLUTION, TABLET, LOTION) or enter the appropriate code from the code list.","ECDOSFRM","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","C66726; C78426","FRM; EXDOSFRM","This must be collected if it cannot be determined from other sources or if there are multiple options for the same study treatment."
"CDASHIG v2.3","Interventions","EC",,"17","ECSTDAT","Exposure as Collected Start Date","The start date of study treatment, intended or actual, represented in an unambiguous date format (e.g., DD-MON-YYYY).","What was the ([intended/planned/actual]) ([study treatment/dose]) (start) date?","(Start) Date","Char","HR","Record the start date of the study treatment administration using this format (DD-MON-YYYY).","ECSTDTC","This does not map directly to an SDTMIG variable. For the SDTM submission dataset, concatenate all collected CDASH START DATE and TIME components and populate the SDTMIG variable ECSTDTC in ISO 8601 format.","","","Date when constant dosing interval of the study treatment started or single administration occurred. When collecting the date for an individual dose, the word ""start"" may be omitted from the Question Text and Prompt. When ECMOOD is collected and ECMOOD is ""SCHEDULED"", use ""intended"" in the question text and prompt. When ECMOOD is collected and ECMOOD is ""PERFORMED"", use ""actual"" in the question text and prompt."
"CDASHIG v2.3","Interventions","EC",,"18","ECSTTIM","Exposure as Collected Start Time","The start time of study treatment, represented in an unambiguous time format (e.g., hh:mm:ss).","What was the ([intended/planned/actual]) ([study treatment/dose]) (start) time?","(Start) Time","Char","R/C","Record the start time (as complete as possible) when administration of study treatment started.","ECSTDTC","This does not map directly to an SDTMIG variable. For the SDTM submission dataset, concatenate all collected CDASH START DATE and TIME components and populate the SDTMIG variable ECSTDTC in ISO 8601 format.","","","Recommend collecting the time a medication was started only when a protocol or data collection scenarios requires it. When collecting the time for an individual dose, the word ""start"" may be omitted from the question text and prompt."
"CDASHIG v2.3","Interventions","EC",,"19","ECENDAT","Exposure as Collected End Date","The end date of study treatment, represented in an unambiguous date format (e.g., DD-MON-YYYY).","What was the ([intended/planned/actual]) ([study treatment/dose]) (end) date?","(End) Date","Char","R/C","Record the end date of the study treatment administration using this format (DD-MON-YYYY).","ECENDTC","This does not map directly to an SDTMIG variable. For the SDTM submission dataset, concatenate all collected CDASH END DATE and TIME components and populate the SDTMIG variable ECENDTC in ISO 8601 format.","","","Date when study treatment period stopped.If start date and end date are not expected to be the same date, the collection of the end date is required. If the study design indicates that the start and end are on the same day, the collection of the end date is not required because it can be assigned to be equal to the start date."
"CDASHIG v2.3","Interventions","EC",,"20","ECENTIM","Exposure as Collected End Time","The end time of study treatment, represented in an unambiguous time format (e.g., hh:mm:ss).","What was the ([intended/planned/actual]) ([study treatment/dose]) (end) time?","(End) Time","Char","R/C","Record the time, (as complete as possible) when study treatment administration stopped (e.g., for infusions this is the time when the infusion ended).","ECENDTC","This does not map directly to an SDTMIG variable. For the SDTM submission dataset, concatenate all collected CDASH END DATE and TIME components and populate the SDTMIG variable ECENDTC in ISO 8601 format.","","","Recommend collecting the time a medication was ended when a protocol or data collection scenarios requires it. For infusions, the end time of the infusion is typically needed."
"CDASHIG v2.3","Interventions","EC",,"21","ECDSTXT","Exposure as Collected Dose Description","The dose of study medication taken (per administration).","What was the dose (per administration) (of [study treatment/dose])?","Dose","Char","R/C","Record the dose or amount of study treatment that was administered to/taken by the subject in the period recorded; from the start date/time to the end date/time inclusive.","ECDOSTXT; ECDOSE","This does not map directly to an SDTMIG variable. The data collected in this dose text-format field should be mapped to either ECDOSE if numeric or ECDOSTXT if text.","","","Dose or amount taken for single administration of study treatment or per constant dosing interval recorded. Dose must be collected if it cannot be determined via other methods (e.g., from diary data, drug accountability data, protocol). Care should be taken when mapping ECDSTXT. The data collected in this dose text-format field should be separated or mapped to either ECDOSE if numeric or ECDOSTXT if text."
"CDASHIG v2.3","Interventions","EC",,"22","ECDOSU","Exposure as Collected Dose Units","The unit for intended dose (per administration) for ECDOSE, ECDOSTOT, or ECDOSTXT.","What were the units for the dose?","Units","Char","R/C","Record the unit of dose or amount taken per period recorded (e.g., ng, mg, mg/kg).","ECDOSU","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","C71620; C78423","UNIT; EXDOSU","Unit of dose or amount taken per constant dosing interval recorded. Dose unit must be collected if it cannot be determined via other methods (e.g., from protocol, randomization data). The unit should be preprinted on the CRF or a field provided on the CRF to capture it. A CDASH Subset Controlled Terminology Codelist Name is available for dose and volume units. In blinded trials, the collected unit may be tablet, capsule, etc., since the actual unit is also blinded."
"CDASHIG v2.3","Interventions","EC",,"23","ECDOSFRQ","EC Dosing Frequency per Interval","The number of doses given/administered/taken during a specific interval.","What was the frequency of [study treatment/dose] dosing?","Frequency","Char","R/C","Record the frequency the study treatment was administered for a defined period of time (e.g., BID, QID, TID).","ECDOSFRQ","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","C71113; C78745","FREQ; EXDOSFRQ","This may be collected if it cannot be determined from other sources or if there are multiple options. When possible, the options for dose/amount frequency are preprinted on the CRF. When collected, the recommendation is to collect dosing information in separate fields (e.g., ECDOSE, ECDOSEU, ECDOSFRQ) for specific and consistent data collection and to enable programmatically using these data."
"CDASHIG v2.3","Interventions","EC",,"24","ECROUTE","EC Route of Administration","The route of administration of the study treatment.","What was the route of administration (of the [study treatment/dose])?","Route","Char","R/C","Record the route of administration (e.g., IV, ORAL, TRANSDERMAL) or enter the appropriate code from the code list.","ECROUTE","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","C66729; C78425","ROUTE; EXROUTE","This may be collected if it cannot be determined via other methods (e.g., from protocol) or if there are multiple options."
"CDASHIG v2.3","Interventions","EC",,"25","ECDOSRGM","Intended Dose Regimen","Text description of the intended schedule or regimen for the Intervention.","What was the intended dose regimen?","Intended Dose Regimen","Char","O","Record the regimen for the study medication.","ECDOSRGM","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","The regimen information (e.g., TWO WEEKS ON, TWO WEEKS OFF) may further clarify the dose administration and dose frequency. This may be preprinted or collected. The sponsor may wish to create a codelist to collect this data consistently."
"CDASHIG v2.3","Interventions","EC",,"26","ECDOSADJ","Dose Adjusted","An indication of whether the dose was adjusted.","Was the dose adjusted?","(Dose) Adjusted","Char","O","Select either Yes or No to indicate whether there was a change in dosing.","","When ECADJ is collected, does not map to an SDTMIG variable. The SDTM annotated CRF indicates that this field is NOT SUBMITTED. When ECADJ is not collected, the sponsor may submit this variable in SUPPEC.","C66742","NY","Typically, the intent/purpose of collecting this field is to help with data cleaning and monitoring, as it provides a definitive response regarding any dose changes. It provides verification that the associated field on the CRF (ECADJ) was deliberately left blank. However, the sponsor may collect whether the dose was adjusted, without collecting the reason for the change. When using ECMOOD, this field should not be used."
"CDASHIG v2.3","Interventions","EC",,"27","ECADJ","Reason for Dose Adjustment","Description of or explanation for why a dose of the study treatment was adjusted.","What was the reason the dose was adjusted?","Reason Adjusted","Char","O","If there was a change in dosing, record the reason for change.","ECADJ","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","Captures the reason the dose was changed or modified. The reason may be chosen from a sponsor-defined list (e.g., adverse event, insufficient response) or entered as free text. May be used for variations from protocol-specified doses, or changes from expected doses. Used only when an adjustment is represented in EX dataset."
"CDASHIG v2.3","Interventions","EC",,"28","ECITRPYN","EC Exposure Interrupted","An indication of whether the exposure was interrupted.","Was the [(study) treatment/dose] interrupted?","[(Study) Treatment / Dose] Interrupted","Char","O","Record if there was an interruption in the study treatment or dosing.","","Does not map to an SDTMIG variable. The SDTM annotated CRF indicates that this field is NOT SUBMITTED..","C66742","NY","The intent/purpose of collecting this field is to help with data cleaning and monitoring when the actual duration of the exposure is collected using the CDASH field ECCINTD. In some situations, if the actual duration of the interruption is not collected or not derived, this information could be submitted in a SUPPEC.QVAL dataset where SUPPEC.QNAM = ""ECITRPYN"" and SUPPEC.QLABEL = ""Exposure Interrupted""."
"CDASHIG v2.3","Interventions","EC",,"29","ECCINTD","EC Interruption Duration","The collected duration of the treatment interruption.","What was the duration of the treatment interruption?","(Interruption) Duration","Char","O","Record the duration of treatment interruption.","QVAL","This does not map directly to an SDTMIG variable. This information could be submitted in a SUPPEC dataset as the value of SUPPEC.QVAL where SUPPEC.QNAM=""ECITRPD"" and SUPPEC.QLABEL= ""Interruption Duration"". Concatenate the collected treatment interruption duration and the duration unit components and create ECITRPD using ISO 8601 Period format. Refer to the current SDTM and SDTMIG for instructions on placement of NSVs in SDTM domains.","","","This field is used to collect the duration of treatment interruption. In some situations, the duration of the interruption may not be collected but calculated from the treatment start and end times recorded elsewhere in the CRF."
"CDASHIG v2.3","Interventions","EC",,"30","ECCINTDU","EC Interruption Duration Units","The unit for the collected duration of treatment interruption.","What was the interruption duration unit?","(Interruption Duration) Unit","Char","O","Record the unit (e.g., MINUTES, HOURS, DAYS) for the duration of treatment interruption.","QVAL","This does not map directly to an SDTMIG variable. This information could be submitted in a SUPPEC dataset as the value of SUPPEC.QVAL where SUPPEC.QNAM = ""ECITRPD"" and SUPPEC.QLABEL= ""Interruption Duration"". Concatenate the collected treatment interruption duration and the duration unit components and create ECITRPD using ISO 8601 Period format. Refer to the current SDTM and SDTMIG for instructions on placement of NSVs in SDTM domains.","C71620; C78427","UNIT; EXINTPU","The unit should be collected as a qualifier to the number for duration."
"CDASHIG v2.3","Interventions","EC",,"31","ECLOC","EC Location of Dose Administration","A description of the anatomical location of administration.","What was the anatomical location of the ([study treatment/dose]) administration?","Anatomical Location","Char","O","Record the body location where the study treatment was administered (e.g., SHOULDER, HIP, ARM).","ECLOC","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","C74456","LOC","Collected or preprinted when the sponsor needs to identify the specific anatomical location where the study treatment was administered. LAT, DIR, PORTOT are used to further describe the anatomical location."
"CDASHIG v2.3","Interventions","EC",,"32","ECLAT","Exposure as Collected Laterality","Qualifier for anatomical location, further detailing side of the body for the study treatment administration.","What was the side of the anatomical location of the ([study treatment/dose]) administration?","Side","Char","O","Record the side of the body location where the study treatment was administered (e.g., Left, Right).","ECLAT","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","C99073","LAT","Further details the laterality of the location where the study treatment was administered. This may be preprinted or collected. Sponsors may collect the data using a subset list of controlled terminology on the CRF."
"CDASHIG v2.3","Interventions","EC",,"33","ECDIR","Exposure as Collected Directionality","Qualifier further detailing the position of the anatomical location relative to the center of the body, organ, or specimen.","What was the directionality of the anatomical location of the ([study treatment/dose]) administration?","Directionality","Char","O","Record the directionality of the body location where the study treatment was administered (e.g., Anterior, Lower, Proximal, Upper).","ECDIR","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","C99074","DIR","May be preprinted or collected when the sponsor needs to identify the directionality of the anatomical location. Sponsors may collect the data using a subset list of controlled terminology on the CRF."
"CDASHIG v2.3","Interventions","EC",,"34","ECVAMT","EC Vehicle Amount","The amount of the prepared product (treatment + vehicle) administered or given.","What was the total amount (Drug + Vehicle) (of [study treatment/dose]) administered?","Total Amount (Drug + Vehicle)","Num","O","Record the total amount (treatment +vehicle) that was administered/given to the subject.","","Maps directly to the SDTMIG variable listed in the SDTMIG Target column. The SDTM variable ECTRTV may also be populated during the process of creating the SDTM submission datasets.","","","Administration amount that was given to the subject. \n Note: Should not be the diluent amount alone. The ECTRTV field may be collected if it cannot be determined from other sources."
"CDASHIG v2.3","Interventions","EC",,"35","ECVAMTU","EC Vehicle Amount Units","The unit of measurement for the prepared product (treatment + vehicle).","What was the unit for the amount (of [study treatment/dose]) administered?","Unit","Char","O","Record the unit of total amount (treatment +vehicle) administered/given to the subject (e.g., mL).","","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","C71620","UNIT","Unit of the administration amount"
"CDASHIG v2.3","Interventions","EC",,"36","ECFLRT","Exposure as Collected Infusion Rate","The flow rate for the total amount of drug + vehicle administered to the subject.","What was the [study treatment/dose] infusion rate?","Infusion Rate","Num","O","Record the Rate of Infusion (e.g., if rate is 10 mL/min. Record 10 as the infusion rate).","QVAL","This does not map directly to an SDTMIG variable. This information could be submitted in a SUPPEC dataset as the value of SUPPEC.QVAL where SUPPEC.QNAM=""ECFLRT"" and SUPPEC.QLABEL= ""Infusion Rate"". Refer to the current SDTM and SDTMIG for instructions on placement of NSVs in SDTM domains.","","","The infusion rate can be used to derive dose."
"CDASHIG v2.3","Interventions","EC",,"37","ECFLRTU","Exposure as Collected Infusion Rate Unit","The unit of measure for the flow rate for the total amount of drug + vehicle administered to the subject.","What was the unit for the ([study treatment/dose]) infusion rate?","Infusion Rate Unit","Char","O","Record the unit for the infusion rate (e.g., mL/min).","QVAL","This does not map directly to an SDTMIG variable. This information could be submitted in a SUPPEC dataset as the value of SUPPEC.QVAL where SUPPEC.QNAM=""ECFLRTU"" and SUPPEC.QLABEL= ""Infusion Rate Unit"". Refer to the current SDTM and SDTMIG for instructions on placement of NSVs in SDTM domains.","C71620; C78429","UNIT; EXFLRTU","Unit of the infusion rate"
"CDASHIG v2.3","Interventions","EC",,"38","ECTPT","EC Planned Time Point Name","A text description of the planned time point when measurements should be taken, as defined in the protocol.","What was the planned time point for [study treatment/dose]?","[Planned Time Point Name]","Char","R/C","Record the planned time point of study treatment administration if not preprinted on the CRF.","ECTPT","Maps directly to the SDTMIG variable listed in the SDTMIG Target column. See the SDTMIG for additional information on representing time points. The SDTMIG time-point anchors ECTPTREF (text description) and ECRFTDTC (date/time) may be needed, as well as SDTMIG variables ECTPTNUM, ECELTM.","","","Planned time points are needed to differentiate multiple sequential assessments. It is recommended that time points should be preprinted on the CRF rather than collected in a field that requires the site to enter text. If the form is laid out as a grid, then words such as ""Planned Time Point"" can be included as the column heading."
"CDASHIG v2.3","Interventions","EC",,"39","ECTRTCMP","Completed Treatment","An indication of whether the subject completed the intended regimen.","Did the subject complete the full course of [study treatment/dose]?","Completed Treatment","Char","O","Select either Yes or No to indicate whether subject has completed the full course of treatment.","QVAL","This does not map directly to an SDTMIG variable. This information could be submitted in a SUPPEC dataset as the value of SUPPEC.QVAL where SUPPEC.QNAM = ""ECTRTCMP"" and SUPPEC.QLABEL =""Completed Treatment"". Refer to the current SDTM and SDTMIG for instructions on placement of NSVs in SDTM domains.","C66742","NY","Depending on how the study treatment details are collected on the CRF/eCRF, it may be possible to derive those data if the regimen data are collected."
"CDASHIG v2.3","Interventions","EX",,"1","STUDYID","Study Identifier","A unique identifier for a study.","What is the study identifier?","[Protocol/Study]","Char","HR",,"STUDYID","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","Although this field is not typically captured on a CRF, it should be displayed clearly on the CRF and/or in the EDC system. This field can be included into the database or populated during SDTM-based dataset creation before submission."
"CDASHIG v2.3","Interventions","EX",,"2","SITEID","Study Site Identifier","A unique identifier for a site within a study.","What is the site identifier?","Site (Identifier)","Char","HR",,"SITEID","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","Paper: This is typically preprinted in the header of each CRF page for single-site studies. For studies with multiple sites, this field may be left blank so that the number can be recorded by the site, or it may be preprinted on the CRFs that are shipped to each site. \n EDC: This should be prepopulated."
"CDASHIG v2.3","Interventions","EX",,"3","SUBJID","Subject Identifier for the Study","A unique subject identifier within a site and a study.","What [is/was] the (study) [subject/participant] identifier?","[Subject/Participant] (Identifier)","Char","HR","Record the identifier for the subject.","SUBJID","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","Paper: This is typically recorded in the header of each CRF page. EDC: The subject identifiers may be system-generated. This CDASH variable is typically collected in all CDASH domains. However, this CDASH variable is populated only in the SDTMIG DM domain. For more information, refer to the SDTMIG."
"CDASHIG v2.3","Interventions","EX",,"4","EPOCH","Epoch","Name of the trial epoch with which this element of the arm is associated.","What is the trial epoch?","[Epoch](Period/Phase/Sponsor-defined phrase)","Char","R/C","[protocol specific]","EPOCH","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","C99079","EPOCH","If the same information is collected more than once in different periods/parts of a study (e.g., Disposition), EPOCH may be needed to differentiate them. Typically, the trial epoch will be preprinted on the CRF as the title of the page. See the SDTMIG for further information regarding EPOCH."
"CDASHIG v2.3","Interventions","EX",,"5","EXYN","Any Study Treatment Taken","An indication of whether the subject took study medication/treatment.","Were any[study treatment/dose] taken?","Any Study Treatments","Char","O","Indicate if the subject took any study medications. If Yes, include the appropriate details where indicated.","","Does not map to an SDTMIG variable. The SDTM annotated CRF indicates that this field is NOT SUBMITTED.","C66742","NY","The intent/purpose of collecting this field is to help with data cleaning and monitoring. It provides verification that all other fields on the CRF were deliberately left blank. The EXYN variable is a cleaning or EDC convention meant to indicate that the exposure form should be completed or inserted into the case book."
"CDASHIG v2.3","Interventions","EX",,"6","EXCAT","Category of Treatment","A grouping of topic-variable values based on user-defined characteristics.","What is the category of the [study treatment/dose] ?","[Study Treatment Category]; NULL","Char","O","Record the study treatment category, if not preprinted on the CRF.","EXCAT","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","Sponsor-defined controlled terminology. This would most commonly be either a heading or a preprinted category value on the CRF, and not a question to which the site would provide an answer. If a question is asked, the response would typically be a sponsor-defined codelist. If the form is laid out as a grid, then words such as ""Category"" can be included as the column header."
"CDASHIG v2.3","Interventions","EX",,"7","EXSCAT","Subcategory of Treatment","A sub-division of the EXCAT values based on user-defined characteristics.","What is the subcategory of the [study treatment/dose] ?","[Study Treatment Subcategory]; NULL","Char","O","Record the study treatment subcategory, if not preprinted on the CRF.","EXSCAT","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","Sponsor-defined controlled terminology. This would most commonly be preprinted on the CRF or screen and prepopulated in the data management system. This is not typically a question to which the site would provide an answer. EXSCAT can only be used if there is an EXCAT and it must be a subcategorization of EXCAT."
"CDASHIG v2.3","Interventions","EX",,"8","EXTRT","Name of Treatment","Name of the study treatment or intervention given per single administration or during the constant dosing interval for the observation.","What was the [study treatment/investigational product] name?","[Study Treatment/Investigational Product Name]","Char","R/C","Record the name of study treatment.","EXTRT","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","EXTRT captures the name of the investigational treatment. This is typically collected for open label studies and populated for blinded studies during the SDTM-based dataset creation. Because EXTRT is the SDTMIG topic variable, it is a required variable in SDTM and must have a value in CDASH or a plan to populate it in the SDTM submission datasets (i.e., collected or populated from other sources)."
"CDASHIG v2.3","Interventions","EX",,"9","EXREFID","Exposure Reference ID","An internal or external identifier (e.g., kit number, bottle label, vial identifier).","What is the [study treatment/dose] label identifier?","Treatment Label Identifier","Char","R/C","Record treatment label identifier.","EXREFID","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","This packaging identifier (e.g., kit number, bottle label, vial identifier) may be collected in different ways (e.g., affixing label onto CRF, scanning a bar code). For some study dosing regimens, greater granularity for treatment identifiers may be needed."
"CDASHIG v2.3","Interventions","EX",,"10","EXLOT","Lot Number","Lot number of the EXTRT product.","What was the lot number of the[study treatment/dose] used?","Lot Number","Char","R/C","Record the lot number that appears on the container holding the study treatment.","EXLOT","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","The lot number identifies the manufacturing batch of the study treatment. In open-label studies, the reference number on the study treatment container may represent an actual lot number and is submitted using EXLOT. This variable may be populated during the process of creating the SDTM submission datasets. Do not collect other identification variables in this field."
"CDASHIG v2.3","Interventions","EX",,"11","EXFAST","Exposure Fasting Status","An indication that the subject has abstained from food/water for the specified amount of time.","Was the subject fasting?","Fasting","Char","O","Record whether the subject was fasting prior to the study treatment being taken.","EXFAST","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","C66742","NY","Because some study treatments may have a food effect, it is important to know whether the dose was taken after the subject had fasted."
"CDASHIG v2.3","Interventions","EX",,"12","EXDOSFRM","Exposure Dose Form","The dosage form in which the EXTRT is physically presented.","What was the dose form of the [study treatment/dose] ?","Dose Form","Char","R/C","Record the dose form (e.g., SOLUTION, TABLET, LOTION) or enter the appropriate code from the code list.","EXDOSFRM","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","C66726; C78426","FRM; EXDOSFRM","This must be collected if it cannot be determined from other sources or if there are multiple options."
"CDASHIG v2.3","Interventions","EX",,"13","EXSTDAT","Exposure Start Date","The start date of study treatment, represented in an unambiguous date format (e.g., DD-MON-YYYY).","What was the ([intended/planned/actual]) ([study treatment/dose]) (start) date?","(Start) Date","Char","HR","Record the start date of the study treatment administration using this format (DD-MON-YYYY).","EXSTDTC","This does not map directly to an SDTMIG variable. For the SDTM submission dataset, concatenate all collected CDASH START DATE and TIME components and populate the SDTMIG variable EXSTDTC in ISO 8601 format.","","","Date when the constant dosing interval of the study treatment started or single administration occurred. When collecting the date for an individual dose, the word ""start"" may be omitted from the question text and prompt."
"CDASHIG v2.3","Interventions","EX",,"14","EXSTTIM","Exposure Start Time","The start time of the study treatment, represented in an unambiguous time format (e.g., hh:mm:ss).","What was the ([intended/planned/actual]) ([study treatment/dose]) (start) time?","(Start) Time","Char","R/C","Record the start time (as complete as possible) when administration of study treatment started.","EXSTDTC","This does not map directly to an SDTMIG variable. For the SDTM submission dataset, concatenate all collected CDASH START DATE and TIME components and populate the SDTMIG variable EXSTDTC in ISO 8601 format.","","","Recommend collecting the time a medication was started only when a protocol or data collection scenario requires it."
"CDASHIG v2.3","Interventions","EX",,"15","EXENDAT","Exposure End Date","The end date of study treatment, represented in an unambiguous date format (e.g., DD-MON-YYYY).","What was the ([intended/planned/actual]) ([study treatment/dose]) (end) date?","(End) Date","Char","R/C","Record the end date or last date of administration of study treatment using this format (DD-MON-YYYY).","EXENDTC","This does not map directly to an SDTMIG variable. For the SDTM submission dataset, concatenate all collected CDASH END DATE and TIME components and populate the SDTMIG variable EXENDTC in ISO 8601 format.","","","If start date and end date are not expected to be on the same date, the end date is required. If the study design indicates that the start and end date are on the same day, the end date is not required because it can be assigned to be equal to the start date."
"CDASHIG v2.3","Interventions","EX",,"16","EXENTIM","Exposure End Time","The end time of treatment, represented in an unambiguous time format (e.g., hh:mm:ss).","What was the ([intended/planned/actual]) ([study treatment/dose]) (end) time?","(End) Time","Char","R/C","Record the time, (as complete as possible) when study treatment administration stopped (e.g., for infusions this is the time when the infusion ended).","EXENDTC","This does not map directly to an SDTMIG variable. For the SDTM submission dataset, concatenate all collected CDASH END DATE and TIME components and populate the SDTMIG variable EXENDTC in ISO 8601 format.","","","Recommend collecting the time a medication was ended when a protocol or data collection scenario requires it. For infusions, the end time of the infusion is typically needed."
"CDASHIG v2.3","Interventions","EX",,"17","EXDSTXT","Exposure Dose Description","Dose (per administration).","What was the dose [per administration] (of [study treatment/dose]) ?","Dose","Char","R/C","Record the dose or amount of study treatment that was administered to/taken by the subject in the period recorded; from the start date/time to the end date/time inclusive.","EXDOSTXT; EXDOSE","This does not map directly to an SDTMIG variable. Numeric values map to EXDOSE in SDTM. Non-numeric values (e.g., 200-400) map to EXDOSTXT in SDTM.","","","Dose or amount taken for single administration of study treatment or per constant dosing interval recorded. Dose must be collected if it cannot be determined via other methods (e.g., from diary data, drug accountability data, protocol). The data collected in this dose text-format field should be mapped to either SDTMIG variable EXDOSE (if numeric) or EXDOSTXT (if text)."
"CDASHIG v2.3","Interventions","EX",,"18","EXDOSU","Exposure Dose Unit","The unit for intended dose (per administration) for EXDOSE, EXDOSTOT, or EXDOSTXT.","What was the unit for the dose?","Unit","Char","R/C","Record the unit of dose or amount taken per period recorded (e.g., ng, mg, mg/kg).","EXDOSU","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","C71620","UNIT","Unit of dose or amount taken per constant dosing interval recorded. Dose unit must be collected if it cannot be determined via other methods (e.g., from protocol, randomization data). The unit should be preprinted on the CRF or a field provided on the CRF to capture it. A CDASH Subset Controlled Terminology Codelist Name is available for general dose and volume units."
"CDASHIG v2.3","Interventions","EX",,"19","EXDOSFRQ","Exposure Dosing Frequency per Interval","The number of doses given/administered/taken during a specific interval.","What was the frequency of[study treatment/dose] dosing?","Frequency","Char","R/C","Record the frequency the study treatment was administered for a defined period of time.","EXDOSFRQ","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","C71113","FREQ","This may be collected if it cannot be determined from other sources or if there are multiple options. When possible, the options for dose/amount frequency are preprinted on the CRF. When collected, the recommendation is to collect dosing information in separate fields (e.g., ECDOSE, ECDOSEU, ECDOSFRQ) for specific and consistent data collection and to enable programmatically using these data."
"CDASHIG v2.3","Interventions","EX",,"20","EXROUTE","Exposure Route of Administration","The route of administration of the study treatment.","What was the route of administration (of the [study treatment/dose] )?","Route","Char","R/C","Record the route of administration (e.g., IV, ORAL, TRANSDERMAL) or enter the appropriate code from the code list.","EXROUTE","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","C66729; C78425","ROUTE; EXROUTE","This may be collected if it cannot be determined via other methods (e.g., from protocol) or if there are multiple options."
"CDASHIG v2.3","Interventions","EX",,"21","EXDOSRGM","Intended Dose Regimen","The text description of the intended schedule or regimen for the Intervention.","What was the intended dose regimen (of the [study treatment/dose] )?","Intended Dose Regimen","Char","O","Record the regimen for the study medication.","EXDOSRGM","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","The regimen information may further clarify the dose administration and dose frequency (e.g., TWO WEEKS ON, TWO WEEKS OFF). This may be preprinted or collected. The sponsor may wish to create a codelist to collect this data consistently."
"CDASHIG v2.3","Interventions","EX",,"22","EXDOSADJ","Dose Adjusted","An indication of whether the dose was adjusted.","Was the dose adjusted?","(Dose) Adjusted","Char","O","Select either Yes or No to indicate whether there was a change in dosing.","","When EXADJ is collected, does not map to an SDTMIG variable. The SDTM annotated CRF indicates that this field is NOT SUBMITTED. When EXADJ is not collected, the sponsor may submit this variable as a SUPPQ.","C66742","NY","Typically, the intent/purpose of collecting this field is to help with data cleaning and monitoring, as it provides a definitive response regarding any dose changes. It provides verification that the associate field on the CRF (EXADJ) was deliberately left blank. However, the sponsor may collect whether the dose was adjusted, without collecting the reason for the change."
